TIME,P,J,V,E,D,GP,GC,SG,%
Botafogo,51,22,16,3,3,39,13,26,77
Palmeiras,42,23,11,9,3,37,17,20,60
Grêmio,39,22,12,3,7,34,27,7,59
Flamengo,39,23,11,6,6,36,30,6,56
Bragantino,39,23,10,9,4,31,21,10,56
Fluminense,38,22,11,5,6,31,22,9,57
Atlético-PR,37,23,10,7,6,35,26,9,53
Fortaleza,35,23,10,5,8,27,22,5,50
Atlético-MG,31,22,8,7,7,25,19,6,46
Cuiabá,29,23,8,5,10,23,29,-6,42
Cruzeiro,29,23,7,8,8,23,20,3,42
Internacional,29,23,7,8,8,19,25,-6,42
São Paulo,28,22,7,7,8,26,23,3,42
Crorinthans,26,22,6,8,8,23,25,-2,39
Goiás,26,23,6,8,9,20,29,-9,37
Bahia,25,23,6,7,10,27,31,-4,36
Santos,21,23,5,6,12,21,39,-18,30
Vasco,17,21,4,5,12,16,31,-15,26
América-MG,17,22,4,5,13,26,47,-21,25
Coritiba,14,22,3,5,14,23,46,-23,21
